name	mod	context	context_source	default	live	seen	english	russian
Build Current Structure	minecraft	IN_GAME	bytecode	key.keyboard.b:ALT	key.keyboard.unknown	options+defaults		
Inertia Module	minecraft	UNIVERSAL	assumed	key.keyboard.l	key.keyboard.unknown	options+defaults		
Magnet Module	minecraft	UNIVERSAL	assumed	key.keyboard.p	key.keyboard.unknown	options+defaults		
Night Vision Module	minecraft	UNIVERSAL	assumed	key.keyboard.n	key.keyboard.unknown	options+defaults		
Speed Module	minecraft	UNIVERSAL	assumed	key.keyboard.k	key.keyboard.unknown	options+defaults		
accessories.key.open_accessories_screen	accessories	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.unknown	options+defaults		
aperture_innovations.portal_gun.pick_up	aperture_innovations	IN_GAME	bytecode		key.keyboard.unknown	options	Pick Up via Portal Gun	
aperture_innovations.portal_gun.primary_fire	aperture_innovations	IN_GAME	bytecode		key.keyboard.unknown	options	Primary Fire	
aperture_innovations.portal_gun.reset	aperture_innovations	IN_GAME	bytecode		key.keyboard.unknown	options	Reset Portal Gun	
aperture_innovations.portal_gun.secondary_fire	aperture_innovations	IN_GAME	bytecode		key.keyboard.unknown	options	Secondary Fire	
artifacts.key.charm_of_shrinking.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Charm of Shrinking	
artifacts.key.charm_of_sinking.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Charm of Sinking	
artifacts.key.helium_flamingo.activate	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Activate Helium Flamingo	Активировать гелиевого фламинго
artifacts.key.night_vision_goggles.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Night Vision Goggles	Вкл/выкл очки ночного видения
artifacts.key.scarf_of_invisibility.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Scarf of Invisibility	
artifacts.key.universal_attractor.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle Universal Attractor	Вкл/выкл универсальный магнит
crafting_on_a_stick.key.open_curios	crafting_on_a_stick	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.unknown	options+defaults	Open Crafting on a Stick	
create.keyinfo.alt_modifier	create	UNIVERSAL	assumed		key.keyboard.right.alt	options	Alt Modifier	
create.keyinfo.ctrl_modifier	create	UNIVERSAL	assumed		key.keyboard.right.control	options	Ctrl Modifier	
create.keyinfo.rotate_menu	create	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Open Block Rotation Menu	Открыть меню вращения блока
create.keyinfo.shift_modifier	create	UNIVERSAL	assumed		key.keyboard.right.shift	options	Shift Modifier	
create.keyinfo.toolbelt	create	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.caps.lock	options+defaults	Access Nearby Toolboxes	Доступ к ящикам для инструментов
create.keyinfo.toolmenu	create	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.menu	options+defaults	Focus Schematic Overlay	Фокусировка на интерфейсе схематики
dndesires.keyinfo.drill_active	dndesires	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.unknown	options+defaults	Active Handheld Drill Action	
dndesires.keyinfo.saw_active	dndesires	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.unknown	options+defaults	Active Handheld Saw Action	
equipmentcompare.key.showTooltips	equipmentcompare	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.alt	options+defaults	Show Comparison Tooltip	Показывать сравнение предметов
framedblocks.key.update_cull	framedblocks	UNIVERSAL	assumed	key.keyboard.f9	key.keyboard.unknown	options+defaults	Update culling cache	Обновить кэш отсечения
framedblocks.key.wipe_cache	framedblocks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Clear model cache	Очистить кэш моделей
ftbultimine.change_shape.next	ftbultimine	UNIVERSAL	assumed	key.keyboard.up	key.keyboard.up	options+defaults	Cycle to Next Shape	Переключиться на след. форму
ftbultimine.change_shape.prev	ftbultimine	UNIVERSAL	assumed	key.keyboard.down	key.keyboard.down	options+defaults	Cycle to Previous Shape	Переключиться на пред. форму
gui.xaero_alternative_list_players	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	"List Players" Alternative	Альтернатива «Списка игроков»
gui.xaero_display_all_sets	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Toggle All WP Sets Render	Показывать все наборы меток
gui.xaero_enlarge_map	xaerominimap	UNIVERSAL	assumed	key.keyboard.z	key.keyboard.unknown	options+defaults	Enlarge Minimap	Увеличить мини-карту
gui.xaero_instant_waypoint	xaerominimap	UNIVERSAL	assumed	key.keyboard.keypad.add	key.keyboard.keypad.add	options+defaults	Quick Waypoint	Быстрая метка
gui.xaero_map_zoom_in	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Zoom In (alternative)	
gui.xaero_map_zoom_out	xaeroworldmap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Zoom Out (alternative)	
gui.xaero_minimap_server_profiles	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	options+defaults	Minimap Server Settings	
gui.xaero_minimap_settings	xaerominimap	UNIVERSAL	assumed	key.keyboard.y	key.keyboard.unknown	options+defaults	Minimap Settings	Настройки мини-карты
gui.xaero_new_waypoint	xaerominimap	UNIVERSAL	assumed	key.keyboard.o	key.keyboard.unknown	options+defaults	New Waypoint	Новая метка
